Value,Frequency
5.650867931081419e-09,1
4.647477192271409e-09,1
1.5703583626354695e-09,1
-3.1039603065052226e-10,1
-3.8270437612049765e-10,2
-1.9505326052383494e-09,0
-4.346486553195665e-09,2
4.4402015798261494e-09,0
-1.1966733268325417e-09,0
-2.716777193822981e-09,1
3.3351724443909384e-09,1
5.569187434804706e-11,0
-3.293371915802066e-09,0
-4.5560533224190795e-10,0
-1.2209113071947254e-09,1
-1.192478177062748e-09,0
-6.6766766855725634e-09,0
-3.3002739268773207e-10,0
1.8277836709871163e-10,0
2.785489984773082e-09,2
-1.5880771306849612e-09,0
2.7924298734798546e-09,1
-3.6064459534951032e-09,0
-2.925945846745563e-09,0
2.538798553039694e-10,1
2.2521676334786234e-09,1
-1.2008976340507767e-09,2
-4.80454502655108e-09,0
-5.0808846074604955e-09,1
4.223746102297842e-09,0
1.853915023777162e-09,0
-3.383403281857589e-09,0
2.9579751137726422e-09,0
-4.484737606779257e-09,0
-5.973575201052111e-09,0
2.0888642129151992e-09,0
3.3100562844262704e-09,0
-1.7668923319663642e-09,0
-8.45754492800159e-09,1
1.1959380684905352e-09,0
-2.38759917497621e-09,0
1.1247167626202289e-09,0
-3.4345315306629668e-09,0
5.799260344450068e-09,0
7.782965478055355e-09,0
-2.6932778587660823e-09,1
-1.4461846691228345e-09,0
-1.5677994973634778e-09,0
3.3795677898874286e-09,1
